trajectory,t,tau_residual_target,tau_residual_pred,theta_real,theta_sim,omega_real,omega_sim,alpha_real,alpha_sim,motor_input_a,tau_motor_sim,tau_visc_sim,tau_coul_sim,tau_residual_sim,tau_res_sim,tau_net_sim
chrono_run_1.finalized,0.8924915790557861,0.3280519899632585,0.2932741984556761,1.5712985668651729,-0.6281428467057573,-0.0031615382680952,4.55639997892506,-0.0018802527584037415,469.43921764792503,0.0,0.0,0.12687652360617166,0.00044179169191864464,-0.02603310532559148,0.10128520997249883,-0.10128520997249883
chrono_run_1.finalized,0.9060556888580323,0.32806488463932326,0.2932727759426662,1.5712987132170149,-0.5650798221126453,-0.0032066937821329,4.649256420990409,0.0002437511004998727,-158.29911698167416,0.0,0.0,0.1294621839121549,0.00044179169191864464,-0.009309706367968029,0.12059426923610551,-0.12059426923610551
chrono_run_1.finalized,0.9192786216735841,0.32808768895147666,0.2932716094834492,1.5712988332255255,-0.5031620197221834,-0.0032437213036439,4.682607349985083,0.0038210645674475463,178.22343494281813,0.0,0.0,0.13039086663304253,0.00044179169191864464,0.005547971579572628,0.1363806299045338,-0.1363806299045338
chrono_run_1.finalized,0.9327435493469239,0.32809860831182475,0.29327670532369154,1.5712991914772023,-0.4401681538297269,-0.0030823362692075,4.678366451026881,0.004785434011697259,-582.6277446133172,0.0,0.0,0.13027277548229402,0.00044179169191864464,0.019760508742075623,0.1504750759162883,-0.1504750759162883
chrono_run_1.finalized,0.9462773799896241,0.32809380906857977,0.2932803691705175,1.5712986871213883,-0.3775452910838662,-0.0029659795078093,4.627135095682463,0.0035788521326780565,-903.810239785344,0.0,0.0,0.12884619829508542,0.00044179169191864464,0.03261451257561347,0.16190250256261757,-0.16190250256261757
chrono_run_1.finalized,0.9593415260314941,0.32808827157681986,0.29328084389554515,1.5712975818311974,-0.3182539858585935,-0.0029504617976608,4.538475384096808,0.0026828835379129196,-1876.9406573532688,0.0,0.0,0.12637739923399696,0.00044179169191864464,0.04367878003978247,0.17049797096569808,-0.17049797096569808
chrono_run_1.finalized,0.9724900722503663,0.32808576661922073,0.29328223089142375,1.5712958965862585,-0.26025061507750863,-0.0029057793416598,4.411390416518615,0.002120150298090595,-1297.315896270768,0.0,0.0,0.12283861884520235,0.00044179169191864464,0.053333031750097515,0.1766134422872185,-0.1766134422872185
chrono_run_1.finalized,0.9859273433685305,0.3280836961094256,0.2932833682289535,1.5712945146854085,-0.20324048763357846,-0.002869139727739,4.242686401323353,0.001656241078351925,3298.212641876795,0.0,0.0,0.11814092350120682,0.00044179169191864464,0.06148943052032309,0.18007214571344854,-0.18007214571344854
chrono_run_1.finalized,0.999227285385132,0.32808440048810716,0.2932782367903893,1.571292249779835,-0.14946418112953913,-0.0030308428463993,4.0433489436956895,0.0024376927799591025,1223.3248782686946,0.0,0.0,0.11259021597656646,0.00044179169191864464,0.06793687173697345,0.18096887940545855,-0.18096887940545855
chrono_run_1.finalized,1.0122010707855225,0.32809749394026405,0.2932816455061568,1.5712945280129935,-0.099889699851307,-0.0029237549011066,3.821126968597763,0.0039553247094943345,1039.4314904157902,0.0,0.0,0.10640227115176339,0.00044179169191864464,0.07265846237625025,0.17950252521993226,-0.17950252521993226
chrono_run_1.finalized,1.026336908340454,0.32810549858052945,0.293283414484136,1.571295050098776,-0.04975840112361621,-0.0028679007196458,3.5463974831969685,0.004923280481313394,-1933.0001627916372,0.0,0.0,0.09875221360611555,0.00044179169191864464,0.0757978848480322,0.1749918901460664,-0.1749918901460664
chrono_run_1.finalized,1.0390264987945557,0.3281087087687348,0.2932889099304791,1.5712963938179767,-0.008032021848440865,-0.002694268556131,3.2882368762096976,0.004679466637468266,-1128.823308798088,0.0,0.0,0.0915635294479852,0.00044179169191864464,0.07747049147162731,0.16947581261153116,-0.16947581261153116
chrono_run_1.finalized,1.0525717735290527,0.3280970890237942,0.2932909132974541,1.5712988013238751,0.03238957962847802,-0.0026317850162469,2.984184689438096,0.0026744553671700505,-22167.734060581948,0.0,0.0,0.08309695833244053,0.00044179169191864464,0.07730007493329204,0.16083882495765123,-0.16083882495765123
chrono_run_1.finalized,1.0661308765411377,0.3280667108430666,0.2932920769869129,1.57130264332641,0.06862992513289724,-0.0025965274803816,2.672768653805411,-0.0020320796851713147,-23477.616572814215,0.0,0.0,0.07442533508183816,0.00044179169191864464,0.07588987079329257,0.15075699756704936,-0.15075699756704936
chrono_run_1.finalized,1.0793380737304688,0.32803304942134826,0.29328900573293804,1.5713063286437747,0.09981120253870068,-0.002695448035689,2.3609307076138766,-0.006670621901562271,28540.0972244468,0.0,0.0,0.06574196340150458,0.00044179169191864464,0.07325054561048812,0.13943430070391133,-0.13943430070391133
chrono_run_1.finalized,1.0929195880889893,0.3280126447748685,0.2932864873091965,1.5713093506040137,0.12742779788422084,-0.002776562891041,2.0333958803492753,-0.009393962771125156,-3394.7279479651424,0.0,0.0,0.05662149978209151,0.00044179169191864464,0.06925143754621996,0.1263147290202301,-0.1263147290202301
chrono_run_1.finalized,1.1059179306030273,0.32801149627891085,0.29327989423339085,1.5713124789146884,0.14983435029912412,-0.0029868876901671,1.7238007377251647,-0.00868726300792784,-2603.01094700853,0.0,0.0,0.04800058072248537,0.00044179169191864464,0.06460927530896148,0.11305164772336548,-0.11305164772336548
