trajectory,t,tau_residual_target,tau_residual_pred,theta,omega,motor_input_a
chrono_run_2.finalized,15.106759548187256,0.1150873431724308,0.14005452997656745,-0.4534978340081839,-3.177331025588757,0.1179843038253949
chrono_run_2.finalized,15.121235132217409,0.11941385484815817,0.14732451238781386,-0.49907605713456,-3.100542719020806,0.10713312927415293
chrono_run_2.finalized,15.133903980255127,0.12271906316469701,0.1535062371790582,-0.5364502000981886,-3.037576307635086,0.09823516614213451
chrono_run_2.finalized,15.146838188171387,0.12883680776149187,0.1598433430150904,-0.5765809454005151,-2.948425239344511,0.0909388363738794
chrono_run_2.finalized,15.160526990890503,0.13363882171544458,0.16540621476546163,-0.6094881565484228,-2.87532136334624,0.07667584596391024
chrono_run_2.finalized,15.174250125885008,0.14172052274483277,0.17042853116989143,-0.6450334752057183,-2.7681103835979086,0.0823501938277355
chrono_run_2.finalized,15.186700582504272,0.1540626536148979,0.17475378426118807,-0.6814066616625749,-2.610688899178581,0.08700315907607223
chrono_run_2.finalized,15.201032876968384,0.16538072993160557,0.17820753225343017,-0.717194865308963,-2.4093304090299283,0.09081859057970834
chrono_run_2.finalized,15.21457266807556,0.1744554813023349,0.1816143440543907,-0.7465411922990013,-2.2442164471080326,0.07562324455001905
chrono_run_2.finalized,15.226855278015137,0.18175364555442425,0.18449920714257748,-0.7706051804308327,-2.108822998332078,0.06213706066834473
chrono_run_2.finalized,15.240534782409668,0.1873872580983144,0.18580553560468088,-0.798114028100584,-1.8685784600975293,0.05847638961071358
chrono_run_2.finalized,15.254275560379028,0.19442887081655896,0.1866994605858662,-0.8219141858601643,-1.6462193262078153,0.05547463934345604
chrono_run_2.finalized,15.267245054244995,0.2001014013753072,0.18747663831767314,-0.8414303152230203,-1.46388483641825,0.05301320412430486
chrono_run_2.finalized,15.28047227859497,0.20004665322949838,0.18508680736145633,-0.8583753781485742,-1.2943808771231884,0.1622168275192591
chrono_run_2.finalized,15.293659687042236,0.19994848811125954,0.18324795800779325,-0.8722703297475285,-1.155387630501238,0.24791179430859028
chrono_run_2.finalized,15.306899547576904,0.20003263429186113,0.18357430175800038,-0.8856675095647734,-0.9633079807061504,0.20418767133304405
chrono_run_2.finalized,15.32039546966553,0.2012291624378975,0.18345456500357749,-0.8966605935319645,-0.7855892762050839,0.1683338904930961
chrono_run_2.finalized,15.334138631820679,0.19948562615376575,0.1832759807419801,-0.9056014553841156,-0.6397640649646288,0.14184979034166792
chrono_run_2.finalized,15.347949504852295,0.21041743308329552,0.17869339245299223,-0.9123651201147792,-0.4441914286433863,0.22852883041476243
chrono_run_2.finalized,15.360714435577393,0.2056883587959928,0.17459105961557203,-0.9144523407174362,-0.1611353841920446,0.1873936409401052
chrono_run_2.finalized,15.374077796936035,0.1684814545127006,0.16765172078091647,-0.9106147082517508,0.1876649463425282,0.15366278557088628
chrono_run_2.finalized,15.387975931167603,0.1548560352646058,0.15816519149452313,-0.8997863821017741,0.5780878126109806,0.12600348416812676
chrono_run_2.finalized,15.40057063102722,0.14366066321424087,0.1504331087110957,-0.8909071546587932,0.8982345629511116,0.10332285701786395
chrono_run_2.finalized,15.413808345794676,0.1248220257441655,0.14002026394531616,-0.8739281485673054,1.2572358447708516,0.08472474275464845
chrono_run_2.finalized,15.427104234695435,0.10640846034823087,0.12956562854928308,-0.8545338981320119,1.5885762340512095,0.06947428905881173
chrono_run_2.finalized,15.441868543624876,0.08654779753645994,0.11881072570013207,-0.8327156871151755,1.906486510106196,0.056968917028225624
chrono_run_2.finalized,15.454371452331543,0.0701756075231294,0.11004418389253165,-0.8148247540813698,2.167172936471285,0.04671451196314501
chrono_run_2.finalized,15.466958999633789,0.04420282363746801,0.09655264956913766,-0.7803999957567854,2.481811069304769,0.038305899809778915
chrono_run_2.finalized,15.480313539505005,0.01818588274387395,0.08150851195560835,-0.7375063828300108,2.7848750205249795,0.03141083784401871
chrono_run_2.finalized,15.493311643600464,-0.0034521874266618957,0.06932158208236736,-0.7023336202300556,3.0333874605255517,0.025756887032095343
chrono_run_2.finalized,15.507947206497192,-0.024597232563068783,0.05738360218638306,-0.66580073138721,3.2593624473977982,0.021120647366318183
chrono_run_2.finalized,15.520489692687988,-0.042138854962715105,0.0477141137467558,-0.6358437625360766,3.4446619366330404,0.01731893084038091
chrono_run_2.finalized,15.534452438354492,-0.05004490652283883,0.031007952553548337,-0.5713176828814893,3.634701408949738,0.014201523289112348
chrono_run_2.finalized,15.547181606292725,-0.05708307510692723,0.017708450966899103,-0.5184062975647278,3.7905337762494296,0.011645249097072126
chrono_run_2.finalized,15.560508966445923,-0.06319633547389202,0.007094010223541725,-0.4750189616049833,3.918316317435177,0.009549104259599143
